image_name,image_path,image_url,original_height,original_width,caption_reference_description,page_title
image_الريصاني.jpg,data/image_الريصاني.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ef/Moulay-Ali-Cherif-Mausoleum-jleitao.jpg,800,1200,,الريصاني
image_Huracán_Fausto_(2002).jpg,data/image_Huracán_Fausto_(2002).jpg,https://upload.wikimedia.org/wikipedia/commons/1/1a/Tropical_Storm_Fausto_%282002%29_at_high_latitude_on_2002-09-02_at_UTC_0000.JPG,133,129,,Huracán Fausto (2002)
image_Jastrow_illusion.jpg,data/image_Jastrow_illusion.jpg,https://upload.wikimedia.org/wikipedia/commons/4/49/Jastrow-illusion-track.jpg,650,1143,,Jastrow illusion
image_Serat_Menak_Sasak.jpg,data/image_Serat_Menak_Sasak.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1a/ZP_05_Konkalisahak_00.jpg,300,387,,Serat Menak Sasak
image_Invesco.jpg,data/image_Invesco.jpg,https://upload.wikimedia.org/wikipedia/commons/0/05/Invesco.jpg,596,668,,Invesco
image_TruJet.jpg,data/image_TruJet.jpg,https://upload.wikimedia.org/wikipedia/commons/5/53/TruJet_VT-TMP_at_Hyderabad%2C_Sep_2015.jpg,683,1024,,TruJet
image_Drosophila_setosimentum.jpg,data/image_Drosophila_setosimentum.jpg,https://upload.wikimedia.org/wikipedia/commons/8/85/Drosophila_setosimentum.jpg,365,283,,Drosophila setosimentum
image_青背竹筴魚.jpg,data/image_青背竹筴魚.jpg,https://upload.wikimedia.org/wikipedia/commons/9/92/Trachurus_declivis.jpg,736,1024,,青背竹筴魚
image_Lancia.jpg,data/image_Lancia.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fe/2006_Rally_Legend_-_Lancia_Delta_HF_Integrale_16v.jpg,600,800,,Lancia
image_Lista_de_Gobernadores_Xerais_do_Canadá.jpg,data/image_Lista_de_Gobernadores_Xerais_do_Canadá.jpg,https://upload.wikimedia.org/wikipedia/commons/6/63/Lord_Stanley_of_Preston.jpg,536,446,,Lista de Gobernadores Xerais do Canadá
image_The_Clash.jpg,data/image_The_Clash.jpg,https://upload.wikimedia.org/wikipedia/commons/3/34/Clash_21051980_12_800.jpg,468,800,,The Clash
image_Państwa_Osi.jpg,data/image_Państwa_Osi.jpg,https://upload.wikimedia.org/wikipedia/commons/5/54/Philippines_flag_original.png,200,400,,Państwa Osi
image_Pthirus_gorillae.jpg,data/image_Pthirus_gorillae.jpg,https://upload.wikimedia.org/wikipedia/commons/6/60/Pthirus_gorillae.jpg,234,285,,Pthirus gorillae
image_神話及傳說中的龍列表.jpg,data/image_神話及傳說中的龍列表.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c7/Wyvern_Liber_Floridus.jpg,696,460,,神話及傳說中的龍列表
image_Ernst_Röhm.jpg,data/image_Ernst_Röhm.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d7/Bundesarchiv_Bild_102-15282A%2C_Ernst_R%C3%B6hm.jpg,800,567,,Ernst Röhm
image_Gongen.jpg,data/image_Gongen.jpg,https://upload.wikimedia.org/wikipedia/commons/a/af/Gongen_Zukuri.png,642,523,,Gongen
image_Pielęgnicowate.jpg,data/image_Pielęgnicowate.jpg,https://upload.wikimedia.org/wikipedia/commons/2/26/Angel_fish.JPG,431,269,,Pielęgnicowate
image_Jean-Paul_Chambas.jpg,data/image_Jean-Paul_Chambas.jpg,https://upload.wikimedia.org/wikipedia/commons/c/ca/Jean-Paul_Chambas_%281995%29.png,255,312,,Jean-Paul Chambas
image_James_Honeyman-Scott.jpg,data/image_James_Honeyman-Scott.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6f/James-Honeyman-Scott-Grave.jpg,487,372,,James Honeyman-Scott
image_Chuck_Berry.jpg,data/image_Chuck_Berry.jpg,https://upload.wikimedia.org/wikipedia/commons/5/52/Chuck_Berry_1972.JPG,825,739,,Chuck Berry
image_Iron_pillar_of_Delhi.jpg,data/image_Iron_pillar_of_Delhi.jpg,http://upload.wikimedia.org/wikipedia/commons/1/18/The_Iron_Pillar%2C_Kutab_Minar%2C_Delhi.jpg,1122,1633,,Iron pillar of Delhi
image_전봉준.jpg,data/image_전봉준.jpg,https://upload.wikimedia.org/wikipedia/commons/7/73/Jeon_Bong-jun.JPG,394,560,,전봉준
image_Tavoez.jpg,data/image_Tavoez.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4e/Thames_map.png,253,396,,Tavoez
image_Kirbyville_(Texas).jpg,data/image_Kirbyville_(Texas).jpg,http://upload.wikimedia.org/wikipedia/commons/0/00/TXMap-doton-Kirbyville.PNG,284,300,,Kirbyville (Texas)
image_Мордва.jpg,data/image_Мордва.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f5/Mordvins_%281870%29.jpg,500,685,,Мордва
image_アドルフ・ヒトラーの死.jpg,data/image_アドルフ・ヒトラーの死.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e1/F%C3%BChrerbunker-ja.png,1318,1024,,アドルフ・ヒトラーの死
image_Juan_Hernangómez.jpg,data/image_Juan_Hernangómez.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c3/Juan_Hernangomez.jpg,448,402,,Juan Hernangómez
image_CH-47_(航空機).jpg,data/image_CH-47_(航空機).jpg,https://upload.wikimedia.org/wikipedia/commons/e/ef/US_Army_UH-60M_%28cropped%29.jpg,1042,1543,,CH-47 (航空機)
image_Австралийская_лейбористская_партия.jpg,data/image_Австралийская_лейбористская_партия.jpg,https://upload.wikimedia.org/wikipedia/commons/5/51/JamesSc.JPG,559,393,,Австралийская лейбористская партия
image_Sotniile_Negre.jpg,data/image_Sotniile_Negre.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6a/%D0%A3%D1%81%D1%82%D0%B0%D0%B2_%D0%A1%D0%BE%D1%8E%D0%B7%D0%B0_%D0%A0%D1%83%D1%81%D1%81%D0%BA%D0%BE%D0%B3%D0%BE_%D0%BD%D0%B0%D1%80%D0%BE%D0%B4%D0%B0.jpg,273,200,,Sotniile Negre
image_陸上自衛隊北部方面隊.jpg,data/image_陸上自衛隊北部方面隊.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e3/%E3%82%A4%E3%83%99%E3%83%B3%E3%83%88%E3%83%BB%E8%A1%8C%E4%BA%8B%E3%83%BB%E5%BA%83%E5%A0%B1%E6%B4%BB%E5%8B%95%E7%AD%89_25.jpg,853,1280,,陸上自衛隊北部方面隊
image_Caprimulgus.jpg,data/image_Caprimulgus.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4b/Caprimulgus_macrurus.jpg,757,1024,,Caprimulgus
image_Sea_urchin.jpg,data/image_Sea_urchin.jpg,https://upload.wikimedia.org/wikipedia/commons/4/40/Fossil_Echinoid_Echinocorys.jpg,225,300,,Sea urchin
image_Fovant_Badges.jpg,data/image_Fovant_Badges.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f2/Fovant_Badges_-_geograph.org.uk_-_1306244.jpg,481,640,,Fovant Badges
image_Vexations.jpg,data/image_Vexations.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e6/Vexations_erik_satie_piano_sheet.jpeg,515,650,,Vexations
image_Immaculée_Ilibagiza.jpg,data/image_Immaculée_Ilibagiza.jpg,https://upload.wikimedia.org/wikipedia/commons/6/61/Immacule_Illibagiza_2007.jpg,380,165,,Immaculée Ilibagiza
image_ناتسومى_اب.jpg,data/image_ناتسومى_اب.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2c/%E5%AE%89%E5%80%8D%E3%81%AA%E3%81%A4%E3%81%BF.jpg,1497,1000,,ناتسومى اب
image_Tsampa.jpg,data/image_Tsampa.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a9/Tsang.jpg,768,1024,,Tsampa
image_List_of_the_Cenozoic_life_of_Wyoming.jpg,data/image_List_of_the_Cenozoic_life_of_Wyoming.jpg,https://upload.wikimedia.org/wikipedia/commons/4/44/Batodonoides_cropped.png,174,188,,List of the Cenozoic life of Wyoming
image_洛里斯·卡利奧斯.jpg,data/image_洛里斯·卡利奧斯.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4c/Loris_Karius.jpg,963,566,,洛里斯·卡利奧斯
image_朝韩非军事区.jpg,data/image_朝韩非军事区.jpg,https://upload.wikimedia.org/wikipedia/commons/8/82/KPA3-2a.jpg,519,832,,朝韩非军事区
image_Charles_Francis_Hall.jpg,data/image_Charles_Francis_Hall.jpg,http://upload.wikimedia.org/wikipedia/commons/8/8d/Cfhall_harpers.jpg,284,237,,Charles Francis Hall
image_2018–2019-es_holland_labdarúgókupa.jpg,data/image_2018–2019-es_holland_labdarúgókupa.jpg,https://upload.wikimedia.org/wikipedia/commons/b/be/Knvbbeker_cropped.jpg,537,377,,2018–2019-es holland labdarúgókupa
image_Hapkido.jpg,data/image_Hapkido.jpg,https://upload.wikimedia.org/wikipedia/commons/8/80/Hankumdo-practice.jpg,400,600,,Hapkido
image_List_of_sigils_of_demons.jpg,data/image_List_of_sigils_of_demons.jpg,https://upload.wikimedia.org/wikipedia/commons/7/75/57-Ose_seal.png,450,450,,List of sigils of demons
image_Concentration.jpg,data/image_Concentration.jpg,http://upload.wikimedia.org/wikipedia/commons/6/63/Dilution-concentration_simple_example.jpg,154,360,,Concentration
image_Chuột_chù_Harenna.jpg,data/image_Chuột_chù_Harenna.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cd/Harenna_Shrew_area.png,333,297,,Chuột chù Harenna
image_सोमनाथ_मन्दिर.jpg,data/image_सोमनाथ_मन्दिर.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f6/Somnath-current.jpg,534,712,,सोमनाथ मन्दिर
image_Mac_transition_to_Apple_Silicon.jpg,data/image_Mac_transition_to_Apple_Silicon.jpg,https://upload.wikimedia.org/wikipedia/commons/7/76/MacBook_Pro.png,1305,1623,,Mac transition to Apple Silicon
image_Дарьяльское_ущелье.jpg,data/image_Дарьяльское_ущелье.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b7/Darielpass_1906.jpg,368,498,,Дарьяльское ущелье
image_Quân_đoàn_IV_(Việt_Nam_Cộng_hòa).jpg,data/image_Quân_đoàn_IV_(Việt_Nam_Cộng_hòa).jpg,https://upload.wikimedia.org/wikipedia/commons/7/7b/QD_IV_VNCH.jpg,280,280,,Quân đoàn IV (Việt Nam Cộng hòa)
image_McDonnell_Douglas_Harrier_II.jpg,data/image_McDonnell_Douglas_Harrier_II.jpg,https://upload.wikimedia.org/wikipedia/commons/2/21/DM-SD-02-01334.jpg,427,640,,McDonnell Douglas Harrier II
image_Skybox_(jogos_eletrônicos).jpg,data/image_Skybox_(jogos_eletrônicos).jpg,https://upload.wikimedia.org/wikipedia/commons/0/06/Skybox_sky.png,256,256,,Skybox (jogos eletrônicos)
image_马六甲围城战役_(1511年).jpg,data/image_马六甲围城战役_(1511年).jpg,https://upload.wikimedia.org/wikipedia/commons/a/ac/Conquista_de_Malaca%2C_estudo_-_Ernesto_Condeixa_%28cropped%29.png,794,530,,马六甲围城战役 (1511年)
image_Gabriele_Prinzessin_zu_Leiningen.jpg,data/image_Gabriele_Prinzessin_zu_Leiningen.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fa/Bak-portrait.jpg,353,300,,Gabriele Prinzessin zu Leiningen
image_Dr.ストレッチ.jpg,data/image_Dr.ストレッチ.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5b/%E3%83%89%E3%82%AF%E3%82%BF%E3%83%BC%E3%82%B9%E3%83%88%E3%83%AC%E3%83%83%E3%83%81%E5%9B%BD%E5%88%86%E5%AF%BA.jpg,360,426,,Dr.ストレッチ
image_Dracula_simia.jpg,data/image_Dracula_simia.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5a/15.Dracula_simia%2C_the_Monkey_Face_Orchid_%2810957423336%29.jpg,900,571,,Dracula simia
image_Christianity_in_the_Middle_Ages.jpg,data/image_Christianity_in_the_Middle_Ages.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8d/V%C4%9Bnceslav_%C4%8Cern%C3%BD_-_P%C5%99%C3%ADchod_v%C4%9Brozv%C4%9Bst%C5%AF_Cyrila_a_Metod%C4%9Bje_na_Moravu.jpg,333,479,,Christianity in the Middle Ages
image_يوجين_أمانو.jpg,data/image_يوجين_أمانو.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a7/Eugene-Amano-TitansvsPackers-Nov-2-08.jpg,589,404,,يوجين أمانو
image_ساحة_الحرية،_يريفان.jpg,data/image_ساحة_الحرية،_يريفان.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b5/Karabakh_movement_demonstration_at_Yerevan_Opera_square_%284%29.jpg,518,849,,ساحة الحرية، يريفان
image_VDSL.jpg,data/image_VDSL.jpg,http://upload.wikimedia.org/wikipedia/commons/3/32/VDSL2_frequencies.png,204,800,,VDSL
image_Propulsor_de_íons.jpg,data/image_Propulsor_de_íons.jpg,http://upload.wikimedia.org/wikipedia/commons/4/40/DS1_Ion_Engine_Diagram.jpg,330,492,,Propulsor de íons
image_اورینگ.jpg,data/image_اورینگ.jpg,http://upload.wikimedia.org/wikipedia/commons/1/12/O-rings.jpg,375,212,,اورینگ
image_Mensur_(Studentenverbindung).jpg,data/image_Mensur_(Studentenverbindung).jpg,https://upload.wikimedia.org/wikipedia/commons/4/41/Dendrono_-_Der_fechtende_Student.jpg,774,1114,,Mensur (Studentenverbindung)
image_Gürsel_Aksel_Stadyumu.jpg,data/image_Gürsel_Aksel_Stadyumu.jpg,https://upload.wikimedia.org/wikipedia/commons/1/13/G%C3%B6ztepe_Stadyumu.jpg,2928,5108,,Gürsel Aksel Stadyumu
image_YCbCr.jpg,data/image_YCbCr.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b8/YCbCr.GIF,240,240,,YCbCr
image_アリレザ・ベイランヴァンド.jpg,data/image_アリレザ・ベイランヴァンド.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7a/Alireza_Beiranvand_-_2018_FIFA_World_Cup.jpg,522,346,,アリレザ・ベイランヴァンド
image_夏洛特_(北卡羅來納州).jpg,data/image_夏洛特_(北卡羅來納州).jpg,https://upload.wikimedia.org/wikipedia/commons/d/dd/Bank_of_America_Corporate_Center.jpg,2032,1524,,夏洛特 (北卡羅來納州)
image_溫頓郡政府.jpg,data/image_溫頓郡政府.jpg,http://upload.wikimedia.org/wikipedia/commons/f/f6/Winton_LGA_Qld.png,535,400,,溫頓郡政府
image_खतना.jpg,data/image_खतना.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5c/Penile_nerve_block_dorsal.jpg,864,1152,,खतना
image_690.jpg,data/image_690.jpg,https://upload.wikimedia.org/wikipedia/commons/a/aa/A_Tang_Dynasty_Empress_Wu_Zetian.JPG,393,347,,690
image_Warystor.jpg,data/image_Warystor.jpg,https://upload.wikimedia.org/wikipedia/commons/7/71/Varistor_symbol_1.png,200,400,,Warystor
image_マレー川.jpg,data/image_マレー川.jpg,http://upload.wikimedia.org/wikipedia/commons/3/3b/Murray_darling_murrumbidgee_map.gif,452,581,,マレー川
image_池尻_(世田谷区).jpg,data/image_池尻_(世田谷区).jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E7%AB%8B%E6%B1%A0%E5%B0%BB%E4%BA%8C%E4%B8%81%E7%9B%AE%E5%BA%83%E5%A0%B4_-_panoramio.jpg,1522,2031,,池尻 (世田谷区)
image_T'aypik.jpg,data/image_T'aypik.jpg,https://upload.wikimedia.org/wikipedia/commons/9/96/Districts_of_Taipei-Taiwan.png,457,346,,T'aypik
image_ספיר.jpg,data/image_ספיר.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c5/Sapphire_oval%2C_untreated_2.25cts.jpg,300,300,,ספיר
image_Natalja_Wiktorowna_Polosmak.jpg,data/image_Natalja_Wiktorowna_Polosmak.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ee/Mummy_of_the_Ukok_Princess.jpg,576,720,,Natalja Wiktorowna Polosmak
image_한큐전철.jpg,data/image_한큐전철.jpg,http://upload.wikimedia.org/wikipedia/commons/a/a0/HK-Nishinomiya-kitaguchiStation-1.JPG,313,540,,한큐전철
image_Crítica_textual.jpg,data/image_Crítica_textual.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1c/Canterbury_Tales.png,283,331,,Crítica textual
image_Hiệp_ước_Xô-Đức.jpg,data/image_Hiệp_ước_Xô-Đức.jpg,http://upload.wikimedia.org/wikipedia/commons/9/9c/Bundesarchiv_Bild_183-R69173%2C_M%C3%BCnchener_Abkommen%2C_Staatschefs.jpg,548,800,,Hiệp ước Xô-Đức
image_Brian_Joubert.jpg,data/image_Brian_Joubert.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5b/Joubert_2008TEB_by_Carmichael.jpg,504,340,,Brian Joubert
image_บาร์เรล.jpg,data/image_บาร์เรล.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b7/Bluebbl.png,200,133,,บาร์เรล
image_Krūties_vėžys.jpg,data/image_Krūties_vėžys.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d0/Mammogram_showing_breast_cancer.jpg,359,261,,Krūties vėžys
image_Single-cell_analysis.jpg,data/image_Single-cell_analysis.jpg,http://upload.wikimedia.org/wikipedia/commons/0/09/Proteinsynthesis.png,410,250,,Single-cell analysis
image_Bible_translations_into_Malay.jpg,data/image_Bible_translations_into_Malay.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7e/Klinkert-Deuteronomy.jpg,480,480,,Bible translations into Malay
"image_The_Lion_in_Winter_(film,_1968).jpg","data/image_The_Lion_in_Winter_(film,_1968).jpg",https://upload.wikimedia.org/wikipedia/commons/3/3d/Hep-lion.jpg,309,475,,"The Lion in Winter (film, 1968)"
image_Liberal_Party_of_Australia.jpg,data/image_Liberal_Party_of_Australia.jpg,https://upload.wikimedia.org/wikipedia/commons/8/87/Vladimir_Putin_at_APEC_Summit_in_Australia_7-9_September_2007-18.jpg,334,500,,Liberal Party of Australia
image_Sea_Zenith.jpg,data/image_Sea_Zenith.jpg,http://upload.wikimedia.org/wikipedia/commons/4/4b/Seaguard.jpg,227,300,,Sea Zenith
image_চন্দ্রকান্ত_সন্দিকৈ_ভবন.jpg,data/image_চন্দ্রকান্ত_সন্দিকৈ_ভবন.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9c/Chandrakanta_Handique_Bhawan.JPG,768,1024,,চন্দ্রকান্ত সন্দিকৈ ভবন
image_Nemzetközi_repülőterek_listája.jpg,data/image_Nemzetközi_repülőterek_listája.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ef/AMD2.jpg,1536,2048,,Nemzetközi repülőterek listája
image_Cronologia_dell'assassinio_di_John_Fitzgerald_Kennedy.jpg,data/image_Cronologia_dell'assassinio_di_John_Fitzgerald_Kennedy.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f4/HSCA-Croft-bunched-jacket-6-44.jpg,129,116,,Cronologia dell'assassinio di John Fitzgerald Kennedy
image_滿洲國軍.jpg,data/image_滿洲國軍.jpg,https://upload.wikimedia.org/wikipedia/commons/c/ce/Manchukuo_Honor_Guard.JPG,420,491,,滿洲國軍
"image_Prelude_and_Fugue_in_C-sharp_major,_BWV_848.jpg","data/image_Prelude_and_Fugue_in_C-sharp_major,_BWV_848.jpg",https://upload.wikimedia.org/wikipedia/commons/8/87/Bach_Fugue_BWV_848_Subject.png,145,524,,"Prelude and Fugue in C-sharp major, BWV 848"
image_Air_France.jpg,data/image_Air_France.jpg,https://upload.wikimedia.org/wikipedia/en/9/9d/Square_Max_Hymans_%28Paris%29.jpg,225,300,,Air France
image_When_You_Get_a_Little_Lonely.jpg,data/image_When_You_Get_a_Little_Lonely.jpg,https://upload.wikimedia.org/wikipedia/commons/9/99/Marcia%2C_Marcia%2C_Marcia.png,542,364,,When You Get a Little Lonely
image_Priyadarshan.jpg,data/image_Priyadarshan.jpg,https://upload.wikimedia.org/wikipedia/commons/a/aa/Priyadarshan_at_a_press_conference_for_%E2%80%98Kamaal_Dhamaal_Malamaal%E2%80%99_%28cropped%29.jpg,492,503,,Priyadarshan
image_เรือลาดตระเวนประจัญบานรัสเซียปิออตร์เวลีคี.jpg,data/image_เรือลาดตระเวนประจัญบานรัสเซียปิออตร์เวลีคี.jpg,https://upload.wikimedia.org/wikipedia/commons/0/00/Russian_Battle_Cruiser_Pyotr_Velikiy.jpg,364,600,,เรือลาดตระเวนประจัญบานรัสเซียปิออตร์เวลีคี
